Gene name	Synonym	Accession number	Functional category	Description
lipX	<I>PE11</I>, <I>Rv1169c</I>	Rv1169c	6	PE FAMILY PROTEIN. POSSIBLE LIPASE.
lipY	<I>PE_PGRS63</I>, <I>Rv3097c</I>	Rv3097c	6	PE-PGRS FAMILY PROTEIN, TRIACYLGLYCEROL LIPASE (ESTERASE/LIPASE) (TRIGLYCERIDE LIPASE) (TRIBUTYRASE)
PE1	<I>PE</I>, <I>Rv0151c</I>	Rv0151c	6	PE FAMILY PROTEIN
PE10	<I>PE</I>, <I>Rv1089</I>	Rv1089	6	PE FAMILY PROTEIN
PE12	<I>PE</I>, <I>Rv1172c</I>	Rv1172c	6	PE FAMILY PROTEIN
PE13	<I>PE</I>, <I>Rv1195</I>	Rv1195	6	PE FAMILY PROTEIN
PE14	<I>PE</I>, <I>Rv1214c</I>	Rv1214c	6	PE FAMILY PROTEIN
PE15	<I>PE</I>, <I>Rv1386</I>	Rv1386	6	PE FAMILY PROTEIN
PE16	<I>PE</I>, <I>Rv1430</I>	Rv1430	6	PE FAMILY PROTEIN
PE17	<I>PE</I>, <I>Rv1646</I>	Rv1646	6	PE FAMILY PROTEIN
PE18	<I>PE</I>, <I>Rv1788</I>	Rv1788	6	PE FAMILY PROTEIN
PE19	<I>PE</I>, <I>Rv1791</I>	Rv1791	6	PE FAMILY PROTEIN
PE2	<I>PE</I>, <I>Rv0152c</I>	Rv0152c	6	PE FAMILY PROTEIN
PE20	<I>PE</I>, <I>Rv1806</I>	Rv1806	6	PE FAMILY PROTEIN
PE21	<I>PE</I>, <I>Rv2099c</I>	Rv2099c	6	PE FAMILY PROTEIN
PE22	<I>PE</I>, <I>Rv2107</I>	Rv2107	6	PE FAMILY PROTEIN
PE23	<I>PE</I>, <I>Rv2328</I>	Rv2328	6	PE FAMILY PROTEIN
PE24	<I>PE</I>, <I>Rv2408</I>	Rv2408	6	POSSIBLE PE FAMILY-RELATED PROTEIN
PE25	<I>PE</I>, <I>Rv2431c</I>	Rv2431c	6	PE FAMILY PROTEIN
PE26	<I>PE</I>, <I>Rv2519</I>	Rv2519	6	PE FAMILY PROTEIN
PE27	<I>PE</I>, <I>Rv2769c</I>	Rv2769c	6	PE FAMILY PROTEIN
PE27A	<I>PE</I>, <I>Rv3018A</I>	Rv3018A	6	PE FAMILY PROTEIN
PE29	<I>PE</I>, <I>Rv3022A</I>	Rv3022A	6	PE FAMILY PROTEIN
PE3	<I>PE</I>, <I>Rv0159c</I>	Rv0159c	6	PE FAMILY PROTEIN
PE31	<I>PE</I>, <I>Rv3477</I>	Rv3477	6	PE FAMILY PROTEIN
PE32	<I>PE</I>, <I>Rv3622c</I>	Rv3622c	6	PE FAMILY PROTEIN
PE33	<I>PE</I>, <I>Rv3650</I>	Rv3650	6	PE FAMILY PROTEIN
PE34	<I>PE</I>, <I>Rv3746c</I>	Rv3746c	6	PROBABLE PE FAMILY PROTEIN (PE FAMILY-RELATED PROTEIN)
PE35	<I>PE</I>, <I>Rv3872</I>	Rv3872	6	PE FAMILY-RELATED PROTEIN
PE36	<I>PE</I>, <I>Rv3893c</I>	Rv3893c	6	PE FAMILY PROTEIN
PE4	<I>PE</I>, <I>Rv0160c</I>	Rv0160c	6	PE FAMILY PROTEIN
PE5	<I>PE</I>, <I>Rv0285</I>	Rv0285	6	PE FAMILY PROTEIN
PE6	<I>PE</I>, <I>Rv0335c</I>	Rv0335c	6	PE FAMILY PROTEIN
PE7	<I>MTB10</I>, <I>PE</I>, <I>Rv0916c</I>	Rv0916c	6	PE FAMILY PROTEIN
PE8	<I>PE</I>, <I>Rv1040c</I>	Rv1040c	6	PE FAMILY PROTEIN
PE9	<I>PE</I>, <I>Rv1088</I>	Rv1088	6	PE FAMILY PROTEIN
PE_PGRS1	<I>PE_PGRS</I>, <I>Rv0109</I>	Rv0109	6	PE-PGRS FAMILY PROTEIN
PE_PGRS10	<I>PE_PGRS</I>, <I>Rv0747</I>	Rv0747	6	PE-PGRS FAMILY PROTEIN
PE_PGRS11	<I>PE_PGRS</I>, <I>Rv0754</I>	Rv0754	6	PE-PGRS FAMILY PROTEIN
PE_PGRS12	<I>PE_PGRS</I>, <I>Rv0832</I>	Rv0832	6	PE-PGRS FAMILY PROTEIN
